,From,To,Species,Gene Name
153,NP_249163,15595669,Pseudomonas aeruginosa PAO1,RNA polymerase sigma factor(PA0472)
154,NP_253261,15599767,Pseudomonas aeruginosa PAO1,cytochrome C(PA4571)
155,NP_254190,81856907,Pseudomonas aeruginosa PAO1,ABC transporter ATP-binding protein(PA5503)
156,NP_250709,15597215,Pseudomonas aeruginosa PAO1,multidrug efflux lipoprotein(PA2019)
157,NP_248875,15595383,Pseudomonas aeruginosa PAO1,ABC transporter permease(PA0185)
158,NP_248874,15595382,Pseudomonas aeruginosa PAO1,ABC transporter ATP-binding protein(PA0184)
159,NP_248876,15595384,Pseudomonas aeruginosa PAO1,ABC transporter(PA0186)
160,NP_253939,15600445,Pseudomonas aeruginosa PAO1,ABC transporter ATP-binding protein(PA5252)
161,NP_250547,15597053,Pseudomonas aeruginosa PAO1,cbb3-type cytochrome C oxidase subunit I(PA1856)
162,NP_251918,15598424,Pseudomonas aeruginosa PAO1,ABC transporter ATP-binding protein/permease(PA3228)
163,NP_250708,15597214,Pseudomonas aeruginosa PAO1,multidrug efflux protein(PA2018)
164,NP_252726,15599232,Pseudomonas aeruginosa PAO1,ABC transporter ATP-binding protein(PA4037)
165,NP_252204,15598710,Pseudomonas aeruginosa PAO1,ABC transporter ATP-binding protein(PA3514)
166,NP_250783,15597289,Pseudomonas aeruginosa PAO1,RNA polymerase sigma factor(PA2093)
167,NP_251998,41017802,Pseudomonas aeruginosa PAO1,RNA polymerase-associated protein RapA(PA3308)
168,NP_251877,300651932,Pseudomonas aeruginosa PAO1,ABC transporter ATP-binding protein(PA3187)
169,NP_252202,15598708,Pseudomonas aeruginosa PAO1,ABC transporter permease(PA3512)
170,NP_254063,15600569,Pseudomonas aeruginosa PAO1,ABC transporter ATP-binding protein(PA5376)
171,NP_252161,81783645,Pseudomonas aeruginosa PAO1,NAD-dependent malic enzyme(PA3471)
172,NP_252040,15598546,Pseudomonas aeruginosa PAO1,flagellar basal body P-ring biosynthesis protein FlgA(PA3350)
173,NP_249551,15596057,Pseudomonas aeruginosa PAO1,ABC transporter ATP-binding protein/permease(PA0860)
174,NP_254064,15600570,Pseudomonas aeruginosa PAO1,ABC transporter permease(PA5377)
175,NP_249794,15596300,Pseudomonas aeruginosa PAO1,flagellar assembly protein FliH(PA1103)
176,NP_249434,81622542,Pseudomonas aeruginosa PAO1,NAD-dependent L-serine dehydrogenase(PA0743)
177,NP_251901,15598407,Pseudomonas aeruginosa PAO1,ABC transporter permease(PA3211)
178,NP_249949,15596455,Pseudomonas aeruginosa PAO1,ABC transporter permease(PA1258)
179,NP_251902,15598408,Pseudomonas aeruginosa PAO1,ABC transporter ATP-binding protein(PA3212)
180,NP_250498,15597004,Pseudomonas aeruginosa PAO1,ABC transporter ATP-binding protein(PA1807)
181,NP_250894,15597400,Pseudomonas aeruginosa PAO1,ABC transporter(PA2204)
182,NP_251501,15598007,Pseudomonas aeruginosa PAO1,ABC transporter permease(PA2811)
183,NP_253920,15600426,Pseudomonas aeruginosa PAO1,flagellar basal body protein FliL(PA5233)
184,NP_251502,15598008,Pseudomonas aeruginosa PAO1,ABC transporter ATP-binding protein(PA2812)
185,NP_250133,15596639,Pseudomonas aeruginosa PAO1,flagellar basal body protein FliL(PA1442)
186,NP_253769,15600275,Pseudomonas aeruginosa PAO1,ABC transporter(PA5082)
187,NP_253763,15600269,Pseudomonas aeruginosa PAO1,ABC transporter(PA5076)
188,NP_253762,300562301,Pseudomonas aeruginosa PAO1,ABC transporter permease(PA5075)
189,NP_251586,15598092,Pseudomonas aeruginosa PAO1,RNA polymerase sigma factor(PA2896)
190,NP_250499,15597005,Pseudomonas aeruginosa PAO1,ABC transporter permease(PA1808)
