From	To	Species	Gene Name
NP_253065	9950604	Pseudomonas aeruginosa PAO1	multidrug efflux protein(PA4375)
NP_253065	15599571	Pseudomonas aeruginosa PAO1	multidrug efflux protein(PA4375)
NP_253583	9951171	Pseudomonas aeruginosa PAO1	RNA polymerase sigma factor(PA4896)
NP_253583	15600089	Pseudomonas aeruginosa PAO1	RNA polymerase sigma factor(PA4896)
NP_253187	9950736	Pseudomonas aeruginosa PAO1	ABC transporter(PA4497)
NP_253187	15599693	Pseudomonas aeruginosa PAO1	ABC transporter(PA4497)
NP_249360	71151832	Pseudomonas aeruginosa PAO1	error-prone DNA polymerase(PA0669)
NP_249360	9946548	Pseudomonas aeruginosa PAO1	error-prone DNA polymerase(PA0669)
NP_249360	308154503	Pseudomonas aeruginosa PAO1	error-prone DNA polymerase(PA0669)
NP_253981	15600487	Pseudomonas aeruginosa PAO1	multidrug efflux protein NorA(PA5294)
NP_253981	9951609	Pseudomonas aeruginosa PAO1	multidrug efflux protein NorA(PA5294)
NP_253981	14285606	Pseudomonas aeruginosa PAO1	multidrug efflux protein NorA(PA5294)
NP_251165	15597671	Pseudomonas aeruginosa PAO1	cytochrome P450(PA2475)
NP_251165	9948526	Pseudomonas aeruginosa PAO1	cytochrome P450(PA2475)
NP_252133	9949584	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA3443)
NP_252133	15598639	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA3443)
NP_253064	9950603	Pseudomonas aeruginosa PAO1	resistance-nodulation-cell division (RND) efflux membrane fusion protein(PA4374)
NP_253064	15599570	Pseudomonas aeruginosa PAO1	resistance-nodulation-cell division (RND) efflux membrane fusion protein(PA4374)
NP_248797	9945934	Pseudomonas aeruginosa PAO1	cytochrome C oxidase assembly protein(PA0107)
NP_248797	15595305	Pseudomonas aeruginosa PAO1	cytochrome C oxidase assembly protein(PA0107)
NP_249888	15596394	Pseudomonas aeruginosa PAO1	NAD-dependent protein deacylase(PA1197)
NP_249888	38258247	Pseudomonas aeruginosa PAO1	NAD-dependent protein deacylase(PA1197)
NP_249888	9947124	Pseudomonas aeruginosa PAO1	NAD-dependent protein deacylase(PA1197)
NP_250748	9948066	Pseudomonas aeruginosa PAO1	ABC transporter(PA2058)
NP_250748	15597254	Pseudomonas aeruginosa PAO1	ABC transporter(PA2058)
NP_248826	15595334	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA0136)
NP_248826	9945965	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA0136)
NP_249915	9947153	Pseudomonas aeruginosa PAO1	NAD(P)H dehydrogenase(PA1224)
NP_249915	15596421	Pseudomonas aeruginosa PAO1	NAD(P)H dehydrogenase(PA1224)
NP_248828	9945967	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA0138)
NP_248828	15595336	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA0138)
NP_252527	9950014	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA3838)
NP_252527	15599033	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA3838)
NP_249916	9947154	Pseudomonas aeruginosa PAO1	NAD(P)H dehydrogenase(PA1225)
NP_249916	15596422	Pseudomonas aeruginosa PAO1	NAD(P)H dehydrogenase(PA1225)
NP_248827	9945966	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA0137)
NP_248827	15595335	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA0137)
NP_250749	15597255	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA2059)
NP_250749	9948067	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA2059)
NP_250740	9948057	Pseudomonas aeruginosa PAO1	RNA polymerase sigma factor(PA2050)
NP_250740	15597246	Pseudomonas aeruginosa PAO1	RNA polymerase sigma factor(PA2050)
NP_252006	15598512	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA3316)
NP_252006	9949445	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA3316)
NP_252526	15599032	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA3837)
NP_252526	9950013	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA3837)
NP_252882	15599388	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA4193)
NP_252882	9950403	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA4193)
NP_250501	9947794	Pseudomonas aeruginosa PAO1	ABC transporter(PA1810)
NP_250501	15597007	Pseudomonas aeruginosa PAO1	ABC transporter(PA1810)
NP_250985	15597491	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA2295)
NP_250985	9948326	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA2295)
NP_252883	15599389	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA4194)
NP_252883	9950404	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA4194)
NP_252366	15598872	Pseudomonas aeruginosa PAO1	resistance-nodulation-cell division (RND) efflux transporter(PA3676)
NP_252366	9949839	Pseudomonas aeruginosa PAO1	resistance-nodulation-cell division (RND) efflux transporter(PA3676)
NP_250500	9947793	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA1809)
NP_250500	15597006	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA1809)
NP_252884	9950406	Pseudomonas aeruginosa PAO1	ABC transporter(PA4195)
NP_252884	15599390	Pseudomonas aeruginosa PAO1	ABC transporter(PA4195)
NP_250984	9948325	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA2294)
NP_250984	15597490	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA2294)
NP_252367	9949840	Pseudomonas aeruginosa PAO1	resistance-nodulation-cell division (RND) efflux membrane fusion protein(PA3677)
NP_252367	15598873	Pseudomonas aeruginosa PAO1	resistance-nodulation-cell division (RND) efflux membrane fusion protein(PA3677)
NP_252361	15598867	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA3671)
NP_252361	9949833	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA3671)
NP_252362	15598868	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA3672)
NP_252362	9949834	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA3672)
NP_252881	15599387	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA4192)
NP_252881	9950402	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA4192)
NP_251709	9949122	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA3019)
NP_251709	15598215	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA3019)
NP_252912	9950437	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA4222)
NP_252912	15599418	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA4222)
NP_251944	9949377	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA3254)
NP_251944	15598450	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA3254)
NP_252913	9950438	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA4223)
NP_252913	15599419	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA4223)
NP_252913	12668020	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA4223)
NP_250574	81783760	Pseudomonas aeruginosa PAO1	NADH-quinone oxidoreductase subunit A(PA1883)
NP_250574	15597080	Pseudomonas aeruginosa PAO1	NADH-quinone oxidoreductase subunit A(PA1883)
NP_250574	9947874	Pseudomonas aeruginosa PAO1	NADH-quinone oxidoreductase subunit A(PA1883)
NP_251942	9949375	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA3252)
NP_251942	15598448	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA3252)
NP_251547	9948945	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA2857)
NP_251547	15598053	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA2857)
NP_251943	9949376	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA3253)
NP_251943	15598449	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA3253)
NP_254015	9951646	Pseudomonas aeruginosa PAO1	mono-heme cytochrome C(PA5328)
NP_254015	15600521	Pseudomonas aeruginosa PAO1	mono-heme cytochrome C(PA5328)
NP_253600	15600106	Pseudomonas aeruginosa PAO1	ABC transporter(PA4913)
NP_253600	9951190	Pseudomonas aeruginosa PAO1	ABC transporter(PA4913)
NP_252753	15599259	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA4064)
NP_252753	9950261	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA4064)
NP_253841	15600347	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA5154)
NP_253841	9951455	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA5154)
NP_253841	259653817	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA5154)
NP_253841	300562303	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA5154)
NP_253285	9950844	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA4595)
NP_253285	15599791	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA4595)
NP_250291	15596797	Pseudomonas aeruginosa PAO1	cytochrome C(PA1600)
NP_250291	9947565	Pseudomonas aeruginosa PAO1	cytochrome C(PA1600)
NP_253283	9950842	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA4593)
NP_253283	15599789	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA4593)
NP_253284	9950843	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA4594)
NP_253284	15599790	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA4594)
NP_248895	15595401	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA0204)
NP_248895	9946039	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA0204)
NP_248894	15595400	Pseudomonas aeruginosa PAO1	ABC transporter(PA0203)
NP_248894	9946038	Pseudomonas aeruginosa PAO1	ABC transporter(PA0203)
NP_248896	9946040	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA0205)
NP_248896	15595402	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA0205)
NP_253839	15600345	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA5152)
NP_253839	9951453	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA5152)
NP_251017	9948362	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA2327)
NP_251017	15597523	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA2327)
NP_252228	15598734	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA3538)
NP_252228	9949688	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA3538)
NP_251778	9949197	Pseudomonas aeruginosa PAO1	NAD kinase(PA3088)
NP_251778	13959445	Pseudomonas aeruginosa PAO1	NAD kinase(PA3088)
NP_251778	15598284	Pseudomonas aeruginosa PAO1	NAD kinase(PA3088)
NP_251019	9948364	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA2329)
NP_251019	15597525	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA2329)
NP_250567	9947866	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein/permease(PA1876)
NP_250567	15597073	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein/permease(PA1876)
NP_252588	9950081	Pseudomonas aeruginosa PAO1	RNA polymerase sigma factor(PA3899)
NP_252588	15599094	Pseudomonas aeruginosa PAO1	RNA polymerase sigma factor(PA3899)
NP_253395	9950965	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA4707)
NP_253395	15599901	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA4707)
NP_252065	9949510	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA3375)
NP_252065	15598571	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA3375)
NP_251098	9948452	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA2408)
NP_251098	15597604	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA2408)
NP_249294	15595800	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA0603)
