,GENENAME,ORG,ENTREZID,REFSEQ,LOG2FC,True_EID
240,electron_transfer,EC,948438,NP_414840,0.003969615,999847476
241,electron_transfer,EC,946813,NP_416712,0.040463552,999849865
242,electron_transfer,EC,944980,NP_414841,-0.04771713,999847475
243,electron_transfer,EC,947161,NP_417159,-0.015565933,999849423
244,electron_transfer,EC,945906,NP_414842,0.065085608,999847474
245,electron_transfer,EC,946482,NP_416212,-0.007495079,999850350
246,electron_transfer,EC,945688,NP_416213,-0.035795907,999850349
247,electron_transfer,EC,948939,NP_414584,0.04689624,999847726
248,electron_transfer,EC,947509,NP_416149,0.057085082,999850412
249,flagellar_motility,EC,946446,NP_416447,0.06700154,999850116
250,flagellar_motility,EC,946448,NP_416448,0.058760803,999850115
251,flagellar_motility,EC,946443,NP_416454,0.009659606,999850109
252,flagellar_motility,EC,946458,NP_416457,0.057990283,999850106
253,flagellar_motility,EC,946462,NP_416458,-0.033186682,999850105
254,flagellar_motility,EC,946463,NP_416459,0.102927747,999850104
255,flagellar_motility,EC,945442,NP_416406,-0.071469827,999850154
256,flagellar_motility,EC,947280,NP_416405,-0.094722549,999850155
257,flagellar_motility,EC,945647,NP_415596,-0.193991805,999850955
258,flagellar_motility,EC,945678,NP_415591,0.055655205,999850960
259,flagellar_motility,EC,946687,NP_415592,0.053733726,999850959
260,flagellar_motility,EC,945639,NP_415595,-0.063342855,999850956
261,flagellar_motility,EC,946464,NP_416460,0.125107693,999850103
262,flagellar_motility,EC,946428,NP_416434,0.021963268,999850126
263,flagellar_motility,EC,949101,NP_416433,-0.173058801,999850127
264,flagellar_motility,EC,945813,NP_415593,-0.244335041,999850958
265,flagellar_motility,EC,945636,NP_415594,-0.098805486,999850957
266,flagellar_motility,EC,945646,NP_415601,0.020066912,999850950
267,flagellar_motility,EC,945648,NP_415600,0.081883087,999850951
268,flagellar_motility,EC,946449,NP_416453,0.056573569,999850110
269,flagellar_motility,EC,946451,NP_416449,-0.056602268,999850114
